块编号	韩文原文	中文译文	备注
001.0	핫핫핫	哈哈哈	
001.1	이제야 좀 벗어났네~	总算是脱身了~	
002.0	아는 게 많은 봉선은 현재 진행 중인 우주 대선과 개표자에 대해서도 말해줬다...	见多识广的凤仙，还讲了正在进行的宇宙大选和开票人的事...	
002.1	... 그 개표자의 이름이 장광남 이란 것도...	... 那个开票人名叫张光南的事也讲了...	
003.0	그래서.. 아랫분이 스폰을...	所以.. 下面那位在赞助...	
003.1	쎄쎄 !!!!!	世世!!!!!	
004.0	히히 히히,		保留原文
004.1	멈 칫	一顿	
005.0	...뭐야?	...什么？	
006.0	적토는 근처에 령이 있으면 울어서 알려줘.	赤兔一有灵靠近就会嘶鸣通知我。	
006.1	진짜야.. 근처에 4짜리가 있어.	真的.. 附近有个4分的。	
006.2	그래서 뭐..?	所以呢..？	
007.0	뭐긴~	还能怎样~	
007.1	철컥	咔嚓	
007.2	이왕 99단에 가는 거 티켓까지 99장 맞춰가면 좋잖아~?	反正都要去99团，把票也凑齐99张不是更好~？	
007.3	스윽..	唰..	
008.0	1266 을?? 유우리 둘다??		保留原文
008.1	하하핫 '당연 하지!!	哈哈哈 那当然!!	
009.0	이 대륙 최강 봉선이 도와주면 금방이니 걱정 마!!	有本大陆最强的凤仙帮忙，很快的，别担心!!	
009.1	오오..	哦哦..	
009.2	오오는 무슨- 척		保留原文
009.3	오오는 무슨-	哦什么哦-	手工拆分/补录
010.0	찰칵	咔嚓	
010.1	야. 너.	喂。你。	
010.2	무슨 꿍꿍이냐?	打什么算盘？	
011.0	하하핫 그래!! 사실 궁궁이가 있다!!	哈哈哈 没错!!↵我确实↵有算盘!!	
011.1	당		保留原文
011.2	에이 ~?? 진짜 4기!	诶~??↵真的假的!	
011.3	척		保留原文
011.4	흠!	嗯!	
011.5	흠!	嗯!	
012.0	사실... 우리 99단의 궁극적인 목표는..	其实... 我们99团的↵终极目标是..	
012.1	사신과 영멸로 부터의 완전한 자유와 독립이다.	从死神和永灭中彻底自由与独立。	
013.0	자유와 독립...	自由与独立...	
013.1	멋져..!	好帅..!	
013.2	두은 두은	怦怦	
014.0	그러기 위해선 역시 너 같은 인재들을 최대한 많이 양성.. 아니.	为此就得尽可能多↵培养你这样的人才..↵不对。	
014.1	난 99단에 간다고 했지,	我说的是↵去99团，	
014.2	99단이 되겠다고 한 적은 없는데?	可没说要↵加入99团吧？	
014.3	그.. 그건 그렇지..	那、那倒是..	
015.0	아... 그러니깐 니 말은...	啊... 所以你的意思是...	
015.1	니들 필요한 정보만 쏙 빼먹고 싹 빠지시겠다..?	只把需要的情报榨干，然后拍拍屁股走人？	
016.0	싫으면 관둬.	不愿意就算了。	
016.1	에/?22	诶?!?	
016.2	에라이! 됐다. 됐어! 그래, 관!! 안 가면 지들만 손해지!! 난 아쉬울 거 하나 없어~	得了! 算了算了!↵行，不去!!↵不去是他们自己吃亏!!↵我一点都不可惜~	
017.0	뭐하나?!? 안 내려?! 꺼지라고!! 티켓을 그냥 확 뜯어 버리기 전에!!!	干嘛呢?!? 还不下来?!↵滚啊!! 别逼我↵把票撕了!!!	
017.1	아이고오 꼬마야~ 너 환생 못해서 어쩌나아~ 쯧쯧..	哎哟小鬼~↵转不了生↵可怎么办哟~↵啧啧..	
017.2	울먹.! 울먹..	抽泣.!↵抽泣..	
017.3	울먹	抽泣	
017.4	..매액...ㅠ	..咩...ㅠ	
018.0	조 조금이라도 움직이면...	敢、敢动一下...	
018.1	이 여자를.. 여.. 영멸 시키겠어!!	我就让这女人..↵永、永灭!!	
019.0	하아	哈啊	
019.1	..두 번째 기회도 놓쳐 버렸군..	..第二次机会也错过了..	
019.2	쳇...	切...	
019.3	티켓은 내 힘으로 모은다.	票我自己攒。	
020.0	헤에~?	嘿~？	
020.1	와-	哇-	
020.2	저벅 저벅	咚 咚	
020.3	어차피 티켓이 많아져 손해 볼 건 없어..	反正票多了↵也没坏处..	
021.0	등실~	飘~	
021.1	99단에 가서 힘의 비밀만 알아내면, 바로 제가 해주마.	等去了99团弄清力量的秘密，我立刻就办。	
021.2	진작 그럴 것이지!! 하하핫!!	早这么说不就好了!! 哈哈哈!!	
021.3	유니		保留原文
022.0	SAAAK		保留原文
027.0	데스티켓 45장	死亡票 45张	
027.1	흐음~ 확실히 요즘 놈들 치곤 세지만, 그 이상 성장하긴 글렀어!!	唔~ 就现在这帮小子来说确实算强，但再想成长就没戏了!!	
027.2	..뭐?	..什么？	
